,LOWER(category),Contagem,,Primeiro crivo,,Segundo crivo,Final,,
FALSE,developer tools,2,FALSE,,FALSE,,,,
FALSE,developers,6,FALSE,,FALSE,,,,
FALSE,development,18,FALSE,,FALSE,,,,
FALSE,devops,3,FALSE,,FALSE,,,,
FALSE,devtools,4,FALSE,,FALSE,,,,
TRUE,diagram,2,TRUE,diagram,TRUE,diagram,"diagram,",,
FALSE,dice,2,FALSE,,FALSE,,,,
FALSE,discontinued,2,FALSE,,FALSE,,,,
TRUE,discord,9,TRUE,discord,TRUE,discord,"discord,",,
FALSE,display,3,FALSE,,FALSE,,,,
TRUE,docker,6,TRUE,docker,TRUE,docker,"docker,",,
TRUE,document management,2,TRUE,document management,FALSE,document management,,,
FALSE,documentation,5,FALSE,,FALSE,,,,
FALSE,documents,4,FALSE,,FALSE,,,,
FALSE,dom,3,FALSE,,FALSE,,,,
FALSE,download,2,FALSE,,FALSE,,,,
TRUE,drawing,5,TRUE,drawing,TRUE,drawing,"drawing,",,
TRUE,drivers,3,TRUE,drivers,TRUE,drivers,"drivers,",,
FALSE,e-commerce,2,FALSE,,FALSE,,,,
FALSE,easy to use,2,FALSE,,FALSE,,,,
TRUE,ebooks,4,FALSE,ebooks,FALSE,,,,
FALSE,ecommerce,2,FALSE,,FALSE,,,,
FALSE,editing,8,FALSE,,FALSE,,,,
FALSE,effects,3,FALSE,,FALSE,,,,
FALSE,electron,101,FALSE,,FALSE,,,,
FALSE,electron apps,3,FALSE,,FALSE,,,,
FALSE,electron-vue,2,FALSE,,FALSE,,,,
FALSE,elite dangerous,2,FALSE,,FALSE,,,,
TRUE,email,6,TRUE,email,TRUE,email,"email,",,
FALSE,emailing,2,FALSE,,FALSE,,,,
FALSE,emails,2,FALSE,,FALSE,,,,
TRUE,engine,4,TRUE,engine,TRUE,engine,"engine,",,
TRUE,entertainment,2,FALSE,entertainment,FALSE,,,,
FALSE,entity framework,3,FALSE,,FALSE,,,,
FALSE,environments,2,FALSE,,FALSE,,,,
FALSE,etc,2,FALSE,,FALSE,,,,
FALSE,ethereum,4,FALSE,,FALSE,,,,
FALSE,evernote,2,FALSE,,FALSE,,,,
FALSE,excel,5,FALSE,,FALSE,,,,
FALSE,exchange,2,FALSE,,FALSE,,,,
FALSE,execution,2,FALSE,,FALSE,,,,
FALSE,explorer,3,FALSE,,FALSE,,,,
FALSE,export,2,FALSE,,FALSE,,,,
FALSE,fast,2,FALSE,,FALSE,,,,
FALSE,file,4,FALSE,,FALSE,,,,
TRUE,file explorer,2,FALSE,file explorer,FALSE,,,,
FALSE,files,2,FALSE,,FALSE,,,,
TRUE,finance,6,TRUE,finance,TRUE,finance,"finance,",,
FALSE,firmware,2,FALSE,,FALSE,,,,
FALSE,fixes,2,FALSE,,FALSE,,,,
FALSE,flowchart,2,FALSE,,FALSE,,,,
FALSE,for,2,FALSE,,FALSE,,,,
FALSE,for windows,2,FALSE,,FALSE,,,,
FALSE,forms,2,FALSE,,FALSE,,,,
FALSE,frameworks,2,FALSE,,FALSE,,,,
FALSE,free,12,FALSE,,FALSE,,,,
FALSE,front-end,3,FALSE,,FALSE,,,,
FALSE,frontend,4,FALSE,,FALSE,,,,
FALSE,full-featured,2,FALSE,,FALSE,,,,
FALSE,functional programming,2,FALSE,,FALSE,,,,
TRUE,game,8,TRUE,game,TRUE,game,"game,",,
FALSE,game developers,2,FALSE,,FALSE,,,,
FALSE,game development,3,FALSE,,FALSE,,,,
FALSE,game engine,4,FALSE,,FALSE,,,,
FALSE,games,9,FALSE,,FALSE,,,,
FALSE,generator,6,FALSE,,FALSE,,,,
TRUE,geospatial,3,TRUE,geospatial,TRUE,geospatial,"geospatial,",,
FALSE,gif,2,FALSE,,FALSE,,,,
FALSE,git,4,FALSE,,FALSE,,,,
FALSE,github,3,FALSE,,FALSE,,,,
FALSE,go,5,FALSE,,FALSE,,,,
FALSE,google,3,FALSE,,FALSE,,,,
FALSE,graph,3,FALSE,,FALSE,,,,
FALSE,graphical,3,FALSE,,FALSE,,,,
TRUE,graphic,4,FALSE,graphic,FALSE,,,,
FALSE,graphql,6,FALSE,,FALSE,,,,
FALSE,grpc,2,FALSE,,FALSE,,,,
FALSE,gui,26,FALSE,,FALSE,,,,
FALSE,hardware,3,FALSE,,FALSE,,,,
FALSE,haskell,2,FALSE,,FALSE,,,,
FALSE,high performance,3,FALSE,,FALSE,,,,
FALSE,history,3,FALSE,,FALSE,,,,
FALSE,html,9,FALSE,,FALSE,,,,
FALSE,html5,6,FALSE,,FALSE,,,,
FALSE,hub,2,FALSE,,FALSE,,,,
FALSE,icons,3,FALSE,,FALSE,,,,
TRUE,ide,11,TRUE,ide,TRUE,ide,"ide,",,
FALSE,ideas,2,FALSE,,FALSE,,,,
FALSE,image,4,FALSE,,FALSE,,,,
FALSE,images,11,FALSE,,FALSE,,,,
FALSE,information,2,FALSE,,FALSE,,,,
FALSE,information retrieval,2,FALSE,,FALSE,,,,
FALSE,instagram,5,FALSE,,FALSE,,,,
FALSE,install,2,FALSE,,FALSE,,,,
FALSE,installation,2,FALSE,,FALSE,,,,
FALSE,integrated development environment,2,FALSE,,FALSE,,,,
FALSE,integration,2,FALSE,,FALSE,,,,
FALSE,interactive,2,FALSE,,FALSE,,,,
FALSE,interface,2,FALSE,,FALSE,,,,
FALSE,internet,4,FALSE,,FALSE,,,,
FALSE,interpreter,2,FALSE,,FALSE,,,,
FALSE,ios,6,FALSE,,FALSE,,,,
TRUE,iot,4,TRUE,iot,TRUE,iot,"iot,",,
FALSE,iota,2,FALSE,,FALSE,,,,
FALSE,ipc,2,FALSE,,FALSE,,,,
FALSE,ipfs,2,FALSE,,FALSE,,,,
FALSE,is a free,2,FALSE,,FALSE,,,,
FALSE,issue tracker,2,FALSE,,FALSE,,,,
FALSE,java,2,FALSE,,FALSE,,,,
FALSE,javascript,52,FALSE,,FALSE,,,,
FALSE,javascript intellisense,2,FALSE,,FALSE,,,,
FALSE,jest,2,FALSE,,FALSE,,,,
FALSE,jpg,2,FALSE,,FALSE,,,,
FALSE,js,4,FALSE,,FALSE,,,,
FALSE,json,4,FALSE,,FALSE,,,,
FALSE,key,2,FALSE,,FALSE,,,,
TRUE,keyboard,4,TRUE,keyboard,TRUE,keyboard,"keyboard,",,
FALSE,keyboards,2,FALSE,,FALSE,,,,
FALSE,knowledge management,2,FALSE,,FALSE,,,,
TRUE,kubernetes,6,TRUE,kubernetes,TRUE,kubernetes,"kubernetes,",,
FALSE,language,5,FALSE,,FALSE,,,,
FALSE,languages,2,FALSE,,FALSE,,,,
FALSE,lightning,3,FALSE,,FALSE,,,,
FALSE,lightning network,2,FALSE,,FALSE,,,,
FALSE,lightweight,2,FALSE,,FALSE,,,,
FALSE,linq,2,FALSE,,FALSE,,,,
FALSE,linux,63,FALSE,,FALSE,,,,
FALSE,live,4,FALSE,,FALSE,,,,
FALSE,localization,2,FALSE,,FALSE,,,,
FALSE,logging,2,FALSE,,FALSE,,,,
FALSE,logon screen,2,FALSE,,FALSE,,,,
FALSE,mac,29,FALSE,,FALSE,,,,
FALSE,mac os,2,FALSE,,FALSE,,,,
FALSE,mac os x,4,FALSE,,FALSE,,,,
FALSE,macos,46,FALSE,,FALSE,,,,
FALSE,mail,4,FALSE,,FALSE,,,,
FALSE,malware,2,FALSE,,FALSE,,,,
FALSE,management,15,FALSE,,FALSE,,,,
FALSE,manager,9,FALSE,,FALSE,,,,
FALSE,manga,3,FALSE,,FALSE,,,,
FALSE,map,3,FALSE,,FALSE,,,,
FALSE,map editor,2,FALSE,,FALSE,,,,
FALSE,markdown,16,FALSE,,FALSE,,,,
FALSE,markdown editor,2,FALSE,,FALSE,,,,
FALSE,mastodon,2,FALSE,,FALSE,,,,
